"model_name","category","problem_type","best_version","best_algorithm","best_f1","best_accuracy","best_precision","best_recall","global_rank"
"ChurnGuard","Supervised Learning","Classification","v2.0","LightGBM","0.9309","0.9107","0.9403","0.9216","1"
"DocParser","Deep Learning","NLP","v1.0","DistilBERT","0.9197","0.9003","0.9160","0.9235","2"
"ImageSortNet","Deep Learning","Computer Vision","v3.0","EfficientNet-B4","0.8919","0.8455","0.8816","0.9026","3"
"SpeechTag","Deep Learning","NLP","v3.0","T5","0.8883","0.8528","0.8707","0.9066","4"
"FraudShield","Supervised Learning","Classification","v2.0","Random Forest","0.8860","0.8521","0.8838","0.8882","5"
"AnomalyWatch","Unsupervised Learning","Classification","v1.0","Neural Network","0.8688","0.8517","0.8428","0.8965","6"
"LeadScore","Supervised Learning","Classification","v2.0","SVM","0.8652","0.8483","0.8345","0.8984","7"
"SentimentIQ","Deep Learning","NLP","v1.0","RoBERTa","0.8633","0.8781","0.8480","0.8792","8"
"SupplyOpt","Semi-Supervised Learning","Regression","v1.0","Lasso","0.8459","0.8138","0.8409","0.8509","9"
"TopicMiner","Unsupervised Learning","Clustering","v1.0","Gaussian Mixture","0.8362","0.7918","0.8341","0.8384","10"
"DemandForecast","Supervised Learning","Regression","v3.0","LightGBM Regressor","0.8269","0.8194","0.8141","0.8401","11"
"HealthPredict","Supervised Learning","Classification","v1.0","Neural Network","0.8206","0.7896","0.8170","0.8242","12"
"ObjectFind","Deep Learning","Object Detection","v1.0","YOLOv8","0.7828","0.7609","0.8034","0.7632","13"
"RecoEngine","Semi-Supervised Learning","Generative","v1.0","Diffusion","0.7802","0.7399","0.7882","0.7725","14"
"RiskRater","Supervised Learning","Regression","v2.0","Ridge Regression","0.7522","0.7421","0.7827","0.7240","15"
"ClusterX","Unsupervised Learning","Clustering","v2.0","DBSCAN","0.7206","0.7216","0.7699","0.6772","16"
"RetentionRL","Reinforcement Learning","Other","v3.0","A3C","0.6044","0.5979","0.5949","0.6142","17"
