"model_name","category","problem_type","best_version","best_algorithm","best_f1","best_accuracy","best_precision","best_recall","global_rank"
"AnomalyNet-AutoEnc","Deep Learning","Clustering","v1.0.0","Dense Convolutional Autoencoder","0.9771","0.8804","0.9589","0.9683","1"
"HousePrice-Ridge","Supervised Learning","Regression","v1.0.0","Ridge L2 Regression Matrix","0.9605","0.9680","0.9590","0.9620","2"
"FraudEye-XGBoost","Supervised Learning","Classification","v1.0.0","XGBoost Classifier Tree","0.9575","0.9590","0.9610","0.9540","3"
"LabelBoost-LabelProp","Semi-Supervised Learning","Classification","v1.0.0","Sklearn Label Propagation Matrix","0.9460","0.9480","0.9500","0.9420","4"
"Inventory-Prophet","Supervised Learning","Regression","v1.0.0","Facebook Prophet Additive Regressor","0.9275","0.9310","0.9300","0.9250","5"
"UserGraph-Sage","Deep Learning","Other","v1.0.0","GraphSAGE Inductive Layer","0.9275","0.9410","0.9240","0.9310","5"
"TrafficFlow-DQN","Reinforcement Learning","Other","v1.0.0","Deep Q-Network Core Policy","0.9251","0.9245","0.9382","0.9123","7"
"CustomerSeg-KMeans","Unsupervised Learning","Clustering","v1.0.0","K-Means Pipeline","0.9099","0.9130","0.9190","0.9010","8"
"DefectDetect-YOLO","Deep Learning","Object Detection","v1.0.0","YOLOv8 Medium Checkpoint","0.8804","0.8830","0.8900","0.8710","9"
"Logistics-PPO","Reinforcement Learning","Other","v1.1.0","PPO Continuous Action Spaces Core","0.8024","0.8020","0.8100","0.7950","10"
"Sentitrade-RoBERTa","Deep Learning","NLP","v1.1.0","Quantized Transformer Trunk","0.7345","0.7350","0.7400","0.7290","11"
"DocuParse-BERT","Deep Learning","NLP","v1.1.0","DistilBERT Distilled Core","0.7045","0.7050","0.7100","0.6990","12"
