"model_name","category","problem_type","license_type","is_public","best_version","best_algorithm","best_f1","best_accuracy","best_vloss","datasets_used","deploy_status","deploy_env","deploy_server","deployed_at","lifecycle_status"
"LeadScore","Supervised Learning","Classification","Proprietary",True,"v2.0","SVM","0.8652","0.8483","0.2424","Credit Bureau Data | Customer Reviews Corpus | Invoice Corpus | Retail Demand History","Production","Production","on-prem-bangalore-rack2","2023-10-08 11:35:00","LIVE & HIGH PERFORMING"
"ChurnGuard","Supervised Learning","Classification","CC-BY-4.0",False,"v2.0","LightGBM","0.9309","0.9107","0.8834","IoT Sensor Readings","Staging","Staging","azure-centralindia-aks","2024-05-03 19:39:00","TRAINED - NOT DEPLOYED"
"DocParser","Deep Learning","NLP","Proprietary",False,"v1.0","DistilBERT","0.9197","0.9003","1.2070","E-Commerce Transactions | IoT Sensor Readings","Rolled Back","Production","aws-ap-south-1-k8s","2024-04-25 18:25:00","TRAINED - NOT DEPLOYED"
"ImageSortNet","Deep Learning","Computer Vision","GPL-3.0",True,"v3.0","EfficientNet-B4","0.8919","0.8455","0.9188","B2B Leads CRM | Fraud Detection Log | Invoice Corpus | IoT Sensor Readings | Retail Demand History","Failed","Staging","aws-ap-south-1-k8s","2024-04-16 22:13:00","TRAINED - NOT DEPLOYED"
"SpeechTag","Deep Learning","NLP","MIT",False,"v3.0","T5","0.8883","0.8528","1.2082","B2B Leads CRM | E-Commerce Transactions | IoT Sensor Readings | Telecom Churn Dataset","Staging","Production","azure-centralindia-aks","2024-03-20 21:31:00","TRAINED - NOT DEPLOYED"
"FraudShield","Supervised Learning","Classification","CC-BY-4.0",True,"v2.0","Random Forest","0.8860","0.8521","0.8804","Credit Bureau Data | Customer Reviews Corpus | Customer Segments Raw","Failed","Development","gcp-asia-south1-gke","2024-01-12 13:19:00","TRAINED - NOT DEPLOYED"
"AnomalyWatch","Unsupervised Learning","Classification","MIT",True,"v1.0","Neural Network","0.8688","0.8517","0.5844","Invoice Corpus | Retail Demand History | Warehouse Camera Feed","Rolled Back","Production","gcp-asia-south1-gke","2024-06-05 07:36:00","TRAINED - NOT DEPLOYED"
"SentimentIQ","Deep Learning","NLP","GPL-3.0",True,"v1.0","RoBERTa","0.8633","0.8781","0.3726","Customer Segments Raw | Interaction Logs | IoT Sensor Readings","Failed","Development","on-prem-bangalore-rack2","2023-11-10 22:27:00","TRAINED - NOT DEPLOYED"
"SupplyOpt","Semi-Supervised Learning","Regression","GPL-3.0",False,"v1.0","Lasso","0.8459","0.8138","0.0100","B2B Leads CRM | E-Commerce Transactions | Invoice Corpus | Telecom Churn Dataset","Failed","Production","azure-centralindia-aks","2024-02-03 09:47:00","TRAINED - NOT DEPLOYED"
"TopicMiner","Unsupervised Learning","Clustering","Proprietary",True,"v1.0","Gaussian Mixture","0.8362","0.7918","0.6508","B2B Leads CRM | Customer Segments Raw | Support Tickets","Rolled Back","Production","azure-eastus-aks","2024-02-21 05:41:00","TRAINED - NOT DEPLOYED"
"DemandForecast","Supervised Learning","Regression","Apache-2.0",True,"v3.0","LightGBM Regressor","0.8269","0.8194","0.6553","Credit Bureau Data | Customer Reviews Corpus | Interaction Logs | Invoice Corpus | Support Tickets","Failed","Production","on-prem-bangalore-rack2","2024-04-08 11:25:00","TRAINED - NOT DEPLOYED"
"HealthPredict","Supervised Learning","Classification","Apache-2.0",True,"v1.0","Neural Network","0.8206","0.7896","1.1961","Credit Bureau Data | Customer Segments Raw | E-Commerce Transactions | Fraud Detection Log | Interaction Logs | Invoice Corpus | Retail Demand History | Telecom Churn Dataset",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"ObjectFind","Deep Learning","Object Detection","GPL-3.0",False,"v1.0","YOLOv8","0.7828","0.7609","0.7953","Customer Segments Raw | Fraud Detection Log | Hospital Admissions | Invoice Corpus | IoT Sensor Readings | Telecom Churn Dataset",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"RecoEngine","Semi-Supervised Learning","Generative","Apache-2.0",True,"v1.0","Diffusion","0.7802","0.7399","0.5341","Customer Reviews Corpus | Interaction Logs | Invoice Corpus | Retail Demand History","Retired","Staging","azure-eastus-aks","2024-02-06 12:00:00","TRAINED - NOT DEPLOYED"
"RiskRater","Supervised Learning","Regression","Apache-2.0",False,"v2.0","Ridge Regression","0.7522","0.7421","0.3441","Customer Segments Raw | E-Commerce Transactions | Fraud Detection Log | Hospital Admissions | Invoice Corpus | Retail Demand History","Failed","Development","azure-centralindia-aks","2024-03-15 10:50:00","TRAINED - NOT DEPLOYED"
"ClusterX","Unsupervised Learning","Clustering","MIT",False,"v2.0","DBSCAN","0.7206","0.7216","1.2161","E-Commerce Transactions | IoT Sensor Readings | Warehouse Camera Feed","Failed","Staging","on-prem-bangalore-rack2","2024-03-03 08:52:00","TRAINED - NOT DEPLOYED"
"RetentionRL","Reinforcement Learning","Other","MIT",True,"v3.0","A3C","0.6044","0.5979","0.2139","B2B Leads CRM | Credit Bureau Data | Customer Reviews Corpus | Fraud Detection Log | Hospital Admissions | Interaction Logs | Retail Demand History",NULL,NULL,NULL,NULL,"TRAINED - NOT DEPLOYED"
"PriceSense","Supervised Learning","Regression","MIT",False,NULL,NULL,NULL,NULL,NULL,NULL,"Failed","Development","aws-ap-south-1-k8s","2023-11-09 11:01:00","NO COMPLETED RUNS"
