"model_name","version_no","algorithm","avg_f1","avg_acc","avg_vloss","run_count","f1_delta_vs_prev","loss_delta_vs_prev"
"AnomalyWatch","v1.0","Neural Network","0.8258","0.8258","0.6859","1",NULL,NULL
"AnomalyWatch","v3.0","Random Forest","0.7909","0.7906","0.9687","2","-0.0349","0.2828"
"ChurnGuard","v2.0","LightGBM","0.8895","0.8852","0.9291","1",NULL,NULL
"ClusterX","v1.0","OPTICS","0.6089","0.5982","0.4882","1",NULL,NULL
"ClusterX","v2.0","DBSCAN","0.7029","0.7029","1.3071","1","0.0940","0.8189"
"DemandForecast","v1.0","XGBoost Regressor","0.7420","0.7435","0.3299","1",NULL,NULL
"DemandForecast","v3.0","LightGBM Regressor","0.8069","0.8096","0.7089","1","0.0649","0.3790"
"DocParser","v1.0","DistilBERT","0.9095","0.9018","1.2078","1",NULL,NULL
"DocParser","v2.0","RoBERTa","0.8335","0.8394","0.9974","1","-0.0760","-0.2104"
"FraudShield","v1.0","CatBoost","0.8189","0.8189","0.7124","2",NULL,NULL
"FraudShield","v2.0","Random Forest","0.8534","0.8399","0.8045","1","0.0345","0.0921"
"HealthPredict","v1.0","Neural Network","0.7685","0.7659","0.8633","4",NULL,NULL
"ImageSortNet","v1.0","ResNet-50","0.7931","0.7833","0.1223","1",NULL,NULL
"ImageSortNet","v2.0","DenseNet-121","0.7065","0.7258","0.6404","1","-0.0866","0.5181"
"ImageSortNet","v3.0","EfficientNet-B4","0.7981","0.8096","0.9451","3","0.0916","0.3047"
"LeadScore","v1.0","Random Forest","0.7436","0.7447","0.2251","1",NULL,NULL
"LeadScore","v2.0","SVM","0.8264","0.8193","0.3336","1","0.0828","0.1085"
"ObjectFind","v1.0","YOLOv8","0.7110","0.7109","0.8632","2",NULL,NULL
"ObjectFind","v2.0","EfficientDet","0.7374","0.7428","0.7692","1","0.0264","-0.0940"
"RecoEngine","v1.0","Diffusion","0.6332","0.6280","0.6372","3",NULL,NULL
"RecoEngine","v3.0","Diffusion","0.5632","0.5762","0.2566","1","-0.0700","-0.3806"
"RetentionRL","v2.0","PPO","0.5079","0.5040","0.7353","3",NULL,NULL
"RetentionRL","v3.0","A3C","0.5878","0.6039","0.2386","1","0.0799","-0.4967"
"RiskRater","v1.0","Ridge Regression","0.6747","0.6818","0.4921","1",NULL,NULL
"RiskRater","v2.0","Ridge Regression","0.7301","0.7430","0.3040","1","0.0554","-0.1881"
"RiskRater","v3.0","Random Forest Regressor","0.6803","0.6982","1.3032","1","-0.0498","0.9992"
"SentimentIQ","v1.0","RoBERTa","0.8423","0.8568","0.5101","1",NULL,NULL
"SentimentIQ","v3.0","mBERT","0.7774","0.7507","0.2633","1","-0.0649","-0.2468"
"SpeechTag","v1.0","T5","0.8476","0.8448","0.7359","1",NULL,NULL
"SpeechTag","v3.0","T5","0.8382","0.8383","1.2676","1","-0.0094","0.5317"
"SupplyOpt","v1.0","Lasso","0.7675","0.7618","0.0834","1",NULL,NULL
"SupplyOpt","v3.0","Lasso","0.7534","0.7608","0.7532","2","-0.0141","0.6698"
"TopicMiner","v1.0","Gaussian Mixture","0.6838","0.6880","0.6618","2",NULL,NULL
"TopicMiner","v2.0","K-Means","0.6885","0.6919","0.4067","1","0.0047","-0.2551"
