"model_name","version_no","algorithm","avg_f1","avg_acc","avg_vloss","run_count","f1_delta_vs_prev","loss_delta_vs_prev"
"AnomalyNet-AutoEnc","v1.0.0","Dense Convolutional Autoencoder","0.9148","0.8874","0.3208","45",NULL,NULL
"AnomalyNet-AutoEnc","v1.1.0","Variational Autoencoder (VAE) Run","0.7214","0.7240","0.4560","1","-0.1934","0.1352"
"CustomerSeg-KMeans","v1.0.0","K-Means Pipeline","0.9067","0.9071","0.1495","2",NULL,NULL
"DefectDetect-YOLO","v1.0.0","YOLOv8 Medium Checkpoint","0.8800","0.8875","0.1995","2",NULL,NULL
"DefectDetect-YOLO","v1.1.0","YOLOv8 Nano Edge Model","0.6460","0.6680","0.5890","1","-0.2340","0.3895"
"DocuParse-BERT","v1.1.0","DistilBERT Distilled Core","0.7045","0.7050","0.4910","1",NULL,NULL
"FraudEye-XGBoost","v1.0.0","XGBoost Classifier Tree","0.9575","0.9590","0.0650","1",NULL,NULL
"FraudEye-XGBoost","v1.1.0","XGBoost with Optuna Tuning","0.6962","0.7005","0.5050","2","-0.2613","0.4400"
"HousePrice-Ridge","v1.0.0","Ridge L2 Regression Matrix","0.9605","0.9680","0.0520","1",NULL,NULL
"Inventory-Prophet","v1.0.0","Facebook Prophet Additive Regressor","0.9275","0.9310","0.1050","1",NULL,NULL
"Inventory-Prophet","v1.1.0","Prophet Piecewise Logistic Model","0.7780","0.7900","0.3200","1","-0.1495","0.2150"
"LabelBoost-LabelProp","v1.0.0","Sklearn Label Propagation Matrix","0.9460","0.9480","0.0810","1",NULL,NULL
"Logistics-PPO","v1.1.0","PPO Continuous Action Spaces Core","0.7805","0.7865","0.3320","2",NULL,NULL
"Sentitrade-RoBERTa","v1.1.0","Quantized Transformer Trunk","0.7345","0.7350","0.4320","1",NULL,NULL
"TrafficFlow-DQN","v1.0.0","Deep Q-Network Core Policy","0.9251","0.9245","0.1245","1",NULL,NULL
"UserGraph-Sage","v1.0.0","GraphSAGE Inductive Layer","0.9275","0.9410","0.0980","1",NULL,NULL
"UserGraph-Sage","v1.1.0","GAT Attention Graph Node Weights","0.6774","0.6920","0.5120","1","-0.2501","0.4140"
