"dataset_name","dataset_version","num_rows","num_features","split_type","model_name","algorithm","avg_f1","avg_accuracy","avg_vloss","runs_using_this_dataset"
"Hospital Admissions","v2.0","491018",116,"Train","ObjectFind","EfficientDet","0.7374","0.7428","0.7692","1"
"Warehouse Camera Feed","v1.0","431585",97,"Train","AnomalyWatch","Random Forest","0.7628","0.7644","0.9676","1"
"Warehouse Camera Feed","v1.0","431585",97,"Train","ClusterX","DBSCAN","0.7029","0.7029","1.3071","1"
"Support Tickets","v1.0","430173",67,"Train","TopicMiner","Gaussian Mixture","0.7269","0.7352","0.7802","1"
"Credit Bureau Data","v1.0","418116",62,"Train","FraudShield","CatBoost","0.8492","0.8358","0.4442","1"
"Credit Bureau Data","v1.0","418116",62,"Train","RetentionRL","A3C","0.5878","0.6039","0.2386","1"
"Credit Bureau Data","v1.0","418116",62,"Train","RetentionRL","PPO","0.4932","0.4830","0.8998","1"
"E-Commerce Transactions","v1.0","387358",46,"Train","DocParser","RoBERTa","0.8335","0.8394","0.9974","1"
"E-Commerce Transactions","v1.0","387358",46,"Train","RiskRater","Random Forest Regressor","0.6803","0.6982","1.3032","1"
"E-Commerce Transactions","v1.0","387358",46,"Train","SupplyOpt","Lasso","0.7796","0.7782","0.3222","2"
"Invoice Corpus","v2.0","375090",57,"Train","HealthPredict","Neural Network","0.7688","0.7630","1.2053","1"
"Customer Reviews Corpus","v1.0","365109",103,"Train","LeadScore","Random Forest","0.7436","0.7447","0.2251","1"
"Customer Segments Raw","v1.0","328065",91,"Train","RiskRater","Ridge Regression","0.7301","0.7430","0.3040","1"
"Retail Demand History","v1.0","297276",114,"Train","AnomalyWatch","Random Forest","0.8049","0.8038","0.9693","1"
"Retail Demand History","v1.0","297276",114,"Train","HealthPredict","Neural Network","0.7377","0.7424","0.1560","1"
"Retail Demand History","v1.0","297276",114,"Train","LeadScore","SVM","0.8264","0.8193","0.3336","1"
"Customer Segments Raw","v2.0","253787",64,"Train","FraudShield","Random Forest","0.8534","0.8399","0.8045","1"
"Fraud Detection Log","v2.0","220973",97,"Train","ImageSortNet","DenseNet-121","0.7065","0.7258","0.6404","1"
"Fraud Detection Log","v2.0","220973",97,"Train","RetentionRL","PPO","0.5103","0.5178","0.7556","1"
"Fraud Detection Log","v2.0","220973",97,"Train","RiskRater","Ridge Regression","0.6747","0.6818","0.4921","1"
"Telecom Churn Dataset","v2.0","183119",87,"Train","SupplyOpt","Lasso","0.6969","0.7025","0.5873","1"
"Retail Demand History","v2.0","169317",44,"Train","AnomalyWatch","Neural Network","0.8258","0.8258","0.6859","1"
"Retail Demand History","v2.0","169317",44,"Train","ImageSortNet","EfficientNet-B4","0.8130","0.8233","0.9762","1"
"Invoice Corpus","v3.0","137918",26,"Train","ImageSortNet","EfficientNet-B4","0.8242","0.8315","0.4502","1"
"Invoice Corpus","v3.0","137918",26,"Train","ObjectFind","YOLOv8","0.6731","0.6767","1.0065","1"
"Invoice Corpus","v3.0","137918",26,"Train","RecoEngine","Diffusion","0.5728","0.5621","0.5003","1"
"Customer Segments Raw","v3.0","122041",73,"Train","FraudShield","CatBoost","0.8037","0.8104","0.8465","1"
"Customer Segments Raw","v3.0","122041",73,"Train","ObjectFind","YOLOv8","0.7584","0.7535","0.6840","1"
"Customer Reviews Corpus","v2.0","101240",86,"Train","RecoEngine","Diffusion","0.5994","0.6238","0.8556","1"
"Interaction Logs","v1.0","98967",92,"Train","DemandForecast","LightGBM Regressor","0.8069","0.8096","0.7089","1"
"Interaction Logs","v1.0","98967",92,"Train","DemandForecast","XGBoost Regressor","0.7420","0.7435","0.3299","1"
"Interaction Logs","v1.0","98967",92,"Train","SentimentIQ","RoBERTa","0.8423","0.8568","0.5101","1"
"IoT Sensor Readings","v2.0","87255",11,"Train","SentimentIQ","mBERT","0.7774","0.7507","0.2633","1"
"B2B Leads CRM","v2.0","48182",66,"Train","SpeechTag","T5","0.8382","0.8383","1.2676","1"
"Telecom Churn Dataset","v1.0","46686",93,"Train","HealthPredict","Neural Network","0.8051","0.8100","1.1474","1"
