"dataset_name","dataset_version","num_rows","num_features","split_type","model_name","algorithm","avg_f1","avg_accuracy","avg_vloss","runs_using_this_dataset"
"ECom_User_Clickstream_2025","v1.0.0","25450000",18,"Train","CustomerSeg-KMeans","K-Means Pipeline","0.9099","0.9130","0.1430","1"
"ECom_User_Clickstream_2025","v1.0.1","25410000",18,"Train","Inventory-Prophet","Prophet Piecewise Logistic Model","0.7780","0.7900","0.3200","1"
"Factory_Vibration_Sensors","v1.1.0","8900000",9,"Train","FraudEye-XGBoost","XGBoost with Optuna Tuning","0.7420","0.7510","0.3980","1"
"NSE_Stock_Ticks_Daily","v1.1.0","6200000",14,"Train","TrafficFlow-DQN","Deep Q-Network Core Policy","0.9251","0.9245","0.1245","1"
"NSE_Stock_Ticks_Daily","v1.0.0","4500000",12,"Train","LabelBoost-LabelProp","Sklearn Label Propagation Matrix","0.9460","0.9480","0.0810","1"
"SCADA_Industrial_Anomalies","v1.0.0","4300000",22,"Train","DefectDetect-YOLO","YOLOv8 Medium Checkpoint","0.8795","0.8920","0.1890","1"
"SCADA_Industrial_Anomalies","v1.1.0","4300000",24,"Train","Inventory-Prophet","Facebook Prophet Additive Regressor","0.9275","0.9310","0.1050","1"
"CC_Fraud_Synthetic_Logs","v1.0.0","1200000",28,"Train","DocuParse-BERT","DistilBERT Distilled Core","0.7045","0.7050","0.4910","1"
"CC_Fraud_Synthetic_Logs","v1.0.0","1200000",28,"Train","Logistics-PPO","PPO Continuous Action Spaces Core","0.8024","0.8020","0.2990","1"
"CC_Fraud_Synthetic_Logs","v2.0.0","1200000",30,"Train","AnomalyNet-AutoEnc","Variational Autoencoder (VAE) Run","0.7214","0.7240","0.4560","1"
"CC_Fraud_Synthetic_Logs","v2.0.0","1200000",30,"Train","UserGraph-Sage","GraphSAGE Inductive Layer","0.9275","0.9410","0.0980","1"
"ECom_Product_Knowledge_Graph","v2.0.0","1120000",9,"Train","FraudEye-XGBoost","XGBoost Classifier Tree","0.9575","0.9590","0.0650","1"
"ECom_Product_Knowledge_Graph","v2.0.0","1120000",9,"Train","HousePrice-Ridge","Ridge L2 Regression Matrix","0.9605","0.9680","0.0520","1"
"FMCG_Inventory_Supply_Levels","v1.1.0","92000",36,"Train","Sentitrade-RoBERTa","Quantized Transformer Trunk","0.7345","0.7350","0.4320","1"
"Telco_Customer_Profiles_Master","v1.0.0","75000",45,"Train","UserGraph-Sage","GAT Attention Graph Node Weights","0.6774","0.6920","0.5120","1"
"PubMed_Medical_QA_Pairs","v1.0.0","45000",3,"Train","CustomerSeg-KMeans","K-Means Pipeline","0.9034","0.9012","0.1560","1"
"Librispeech_Regional_Dialects","v1.0.0","12500",4,"Train","DefectDetect-YOLO","YOLOv8 Medium Checkpoint","0.8804","0.8830","0.2100","1"
"Librispeech_Regional_Dialects","v1.0.0","12500",4,"Train","Logistics-PPO","PPO Continuous Action Spaces Core","0.7585","0.7710","0.3650","1"
"Librispeech_Regional_Dialects","v1.1.0","12500",5,"Train","DefectDetect-YOLO","YOLOv8 Nano Edge Model","0.6460","0.6680","0.5890","1"
"Brain_MRI_Volumetric_Scans","v1.0.0","120",6,"Train","FraudEye-XGBoost","XGBoost with Optuna Tuning","0.6504","0.6500","0.6120","1"
