"category","problem_type","total_runs","model_count","avg_accuracy","avg_f1","avg_vloss","f1_std_dev","min_f1","max_f1","median_f1"
"Deep Learning","NLP","6","3","0.8435","0.8435","0.8895","0.0468","0.7429","0.9197","0.8512"
"Unsupervised Learning","Classification","3","1","0.8024","0.8025","0.8744","0.0395","0.7477","0.8688","0.8114"
"Supervised Learning","Classification","10","4","0.7956","0.7992","0.7116","0.0524","0.6961","0.9309","0.7955"
"Deep Learning","Computer Vision","5","1","0.7864","0.7778","0.7077","0.0533","0.6700","0.8919","0.7766"
"Semi-Supervised Learning","Regression","3","1","0.7613","0.7612","0.3811","0.0589","0.6884","0.8459","0.7645"
"Supervised Learning","Regression","5","2","0.7288","0.7215","0.5657","0.0563","0.6210","0.8269","0.7209"
"Deep Learning","Object Detection","3","1","0.7207","0.7191","0.8343","0.0459","0.6297","0.7828","0.7289"
"Unsupervised Learning","Clustering","5","2","0.6688","0.6692","0.7075","0.0722","0.5642","0.8362","0.6673"
"Semi-Supervised Learning","Generative","4","1","0.6132","0.6132","0.5285","0.0712","0.5464","0.7802","0.5770"
"Reinforcement Learning","Other","4","1","0.5312","0.5297","0.5998","0.0466","0.4642","0.6044","0.5213"
