"year_month","total_runs","completed","failed","cancelled","success_rate_pct","active_users","models_trained"
"2022-07","2","1","1","0","50.0","2","1"
"2022-08","2","2","0","0","100.0","2","2"
"2022-09","4","3","0","1","75.0","4","4"
"2022-10","2","2","0","0","100.0","2","2"
"2022-11","4","3","1","0","75.0","4","4"
"2022-12","1","1","0","0","100.0","1","1"
"2023-01","2","2","0","0","100.0","2","2"
"2023-02","4","4","0","0","100.0","3","4"
"2023-03","2","2","0","0","100.0","2","2"
"2023-04","1","1","0","0","100.0","1","1"
"2023-05","4","3","0","1","75.0","4","4"
"2023-06","3","3","0","0","100.0","3","3"
"2023-07","2","2","0","0","100.0","2","2"
"2023-08","3","2","1","0","66.7","3","3"
"2023-09","4","2","0","0","50.0","4","3"
"2023-10","2","2","0","0","100.0","2","2"
"2023-11","3","3","0","0","100.0","3","2"
"2023-12","3","3","0","0","100.0","3","3"
"2024-01","5","5","0","0","100.0","5","5"
"2024-02","2","2","0","0","100.0","2","2"
