"model_name","algorithm","learning_rate","final_f1","final_accuracy","final_vloss","lr_bucket"
"HousePrice-Ridge","Ridge L2 Regression Matrix","0.003000","0.9605","0.9680","0.0520","low"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.005000","0.9708","0.8804","0.0575","low"
"FraudEye-XGBoost","XGBoost Classifier Tree","0.005000","0.9575","0.9590","0.0650","low"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.005500","0.9771","0.8804","0.0583","low"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.006200","0.9741","0.8804","0.0594","low"
"LabelBoost-LabelProp","Sklearn Label Propagation Matrix","0.008000","0.9460","0.9480","0.0810","low"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.008200","0.9603","0.8806","0.0624","low"
"TrafficFlow-DQN","Deep Q-Network Core Policy","0.010000","0.9251","0.9245","0.1245","medium"
"CustomerSeg-KMeans","K-Means Pipeline","0.010000","0.9099","0.9130","0.1430","medium"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.011600","0.9658","0.8808","0.0673","medium"
"UserGraph-Sage","GraphSAGE Inductive Layer","0.015000","0.9275","0.9410","0.0980","medium"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.018100","0.9589","0.8813","0.0772","medium"
"Inventory-Prophet","Facebook Prophet Additive Regressor","0.020000","0.9275","0.9310","0.1050","medium"
"CustomerSeg-KMeans","K-Means Pipeline","0.025000","0.9034","0.9012","0.1560","medium"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.027600","0.9650","0.8819","0.0914","medium"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.035100","0.9646","0.8824","0.1027","medium"
"DefectDetect-YOLO","YOLOv8 Medium Checkpoint","0.040000","0.8804","0.8830","0.2100","medium"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.042700","0.9564","0.8830","0.1140","medium"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.047300","0.9496","0.8833","0.1210","medium"
"DefectDetect-YOLO","YOLOv8 Medium Checkpoint","0.050000","0.8795","0.8920","0.1890","high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.057100","0.9616","0.8839","0.1357","high"
"Logistics-PPO","PPO Continuous Action Spaces Core","0.060000","0.8024","0.8020","0.2990","high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.066500","0.9446","0.8845","0.1498","high"
"Logistics-PPO","PPO Continuous Action Spaces Core","0.070000","0.7585","0.7710","0.3650","high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.072200","0.9411","0.8849","0.1583","high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.082500","0.9428","0.8855","0.1738","high"
"Inventory-Prophet","Prophet Piecewise Logistic Model","0.090000","0.7780","0.7900","0.3200","high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.094700","0.9354","0.8863","0.1920","high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.112700","0.9476","0.8873","0.2190","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.114100","0.9466","0.8874","0.2212","very_high"
"FraudEye-XGBoost","XGBoost with Optuna Tuning","0.120000","0.7420","0.7510","0.3980","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.133000","0.9251","0.8884","0.2495","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.146800","0.9294","0.8890","0.2703","very_high"
"AnomalyNet-AutoEnc","Variational Autoencoder (VAE) Run","0.150000","0.7214","0.7240","0.4560","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.159400","0.9248","0.8895","0.2891","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.160900","0.9234","0.8896","0.2913","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.166600","0.9209","0.8898","0.2999","very_high"
"Sentitrade-RoBERTa","Quantized Transformer Trunk","0.180000","0.7345","0.7350","0.4320","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.180700","0.9158","0.8903","0.3211","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.193300","0.9232","0.8907","0.3400","very_high"
"UserGraph-Sage","GAT Attention Graph Node Weights","0.200000","0.6774","0.6920","0.5120","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.200500","0.9015","0.8908","0.3507","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.212900","0.9124","0.8911","0.3693","very_high"
"DocuParse-BERT","DistilBERT Distilled Core","0.220000","0.7045","0.7050","0.4910","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.226500","0.9098","0.8913","0.3898","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.245100","0.8927","0.8914","0.4176","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.246400","0.8913","0.8914","0.4196","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.275700","0.8854","0.8911","0.4635","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.285500","0.8840","0.8909","0.4783","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.286700","0.8763","0.8909","0.4800","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.290900","0.8828","0.8908","0.4864","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.299800","0.8784","0.8905","0.4998","very_high"
"DefectDetect-YOLO","YOLOv8 Nano Edge Model","0.300000","0.6460","0.6680","0.5890","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.300900","0.8698","0.8905","0.5013","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.309000","0.8665","0.8902","0.5135","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.313300","0.8801","0.8900","0.5200","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.320300","0.8735","0.8897","0.5304","very_high"
"AnomalyNet-AutoEnc","Dense Convolutional Autoencoder","0.327100","0.8700","0.8894","0.5407","very_high"
